,,,,,,,,,,,,,,,,
DESIGN NO,OLD VARIANT,CATEGORY,SUB CATEGORY,GENDER,COLLECTION,MULTI SIZE,METAL COLOUR,PORTFOLIO TYPE,SOLITAIRE SLAB_FROM,SOLITAIRE SLAB_TO,SIZE FROM,SIZE TO,PURITY,Color,Last Updation Date,Item Creation Date
DEF9115,EF3157,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Yellow,4-26-2024,2-21-2024
DRF9540,RF1112,RING,Female Ring,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.45-0.49,4,19,"10KT,14KT,18KT,9KT",Rose,4-17-2024,2-21-2024
DEF8579,EF1273,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",Rose,,3-15-2024
DPF8217,PF3096,NECKWEAR,Female Pendant,Female,Generic,-,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",White,,2-21-2024
DRF10007,RF1828,RING,Female Ring,Female,Generic,11.5,,Divine (DSJ),,,,,,Yellow,,2-21-2024
DRF8829,RF3125,RING,Female Ring,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.50-0.59,4,16,"10KT,14KT,18KT,9KT",Rose,4-17-2024,2-21-2024
DEF9114,EF3154,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DRF8244,RF1834,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,19,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DEF9822,EF1342,EARRING,Female Earring,Female,Generic,-,Yellow,Divine (DSJ),0.10-0.13,0.10-0.13,-,-,18KT,Yellow,3-7-2024,3-7-2024
DRF8174,RF1690,RING,Female Ring,Female,Generic,15,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Rose,3-15-2024,2-21-2024
DRF9166,RF3303,RING,Female Ring,Female,Ballerina,13,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.30-0.38,4,16,"10KT,14KT,18KT,9KT",,4-6-2024,4-6-2024
DRF9640,RF1450,RING,Female Ring,Female,Generic,9.5,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,18,"10KT,14KT,18KT,9KT",Yellow,3-26-2024,2-21-2024
DRF9548,RF1137,RING,Female Ring,Female,Generic,14,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,18,"10KT,14KT,18KT,9KT",Yellow,3-23-2024,3-18-2024
DRM9151,RM3015,RING,Male Ring,Male,Generic,26,"Rose,Rose White,White,Yellow,Yellow White",Divine (DSJ),0.14-0.17,0.14-0.17,20,20,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRF8167,RF1682,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DPF8231,PF5015,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Rose,3-23-2024,3-23-2024
DEF9854,EF3415,EARRING,Female Earring,Female,Generic,-,,Divine (DSJ),,,,,,White,4-17-2024,2-21-2024
DPF8372,PF6056,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF9641,RF1452,RING,Female Ring,Female,Generic,17,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,3,12,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DEF8507,EF1264,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",Rose,5-14-2024,2-21-2024
DRF8563,RF3007,RING,Female Ring,Female,Generic,7.5,"Rose,Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.10-0.13,0.70-0.79,4,16,"10KT,14KT,18KT,9KT",White,3-12-2024,2-21-2024
DRF8181,RF1720,RING,Female Ring,Female,Generic,14,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,0.70-0.79,4,16,"10KT,14KT,18KT,9KT",Yellow,3-29-2024,2-21-2024
DEF9874,EF6060,EARRING,Female Earring,Female,Generic,-,,Divine (DSJ),,,,,,Yellow,,2-21-2024
DRF9751,RF1648,RING,Female Ring,Female,Generic,9,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,4-6-2024,2-21-2024
DRF9755,RF1654,RING,Female Ring,Female,Generic,9,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.70-0.79,4,23,"10KT,14KT,18KT,9KT",Rose,,2-21-2024
DRF8560,RF3004,RING,Female Ring,Female,Generic,16,"Rose,Rose White,White Rose,White Yellow,Yellow,Yellow White",Divine (DSJ),0.10-0.13,2.50-2.99,10,21,"10KT,14KT,18KT,9KT",White,3-30-2024,2-21-2024
DRM9150,RM3014,RING,Male Ring,Male,Generic,20,"Rose,Rose White Rhodium,White,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),-,2.50-2.99,1,21,"10KT,14KT,18KT,9KT",White,4-17-2024,2-21-2024
DRF9637,RF1419,RING,Female Ring,Female,Generic,10,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DNK8528,NK3014,NECKWEAR,Necklaces,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.23-0.29,-,-,"10KT,14KT,18KT,9KT",Rose,,2-21-2024
DBF9936,OBF3043,WRIST WEAR,Round Bangles,Female,Generic,-,,Divine (DSJ),,,,,,Yellow,,2-21-2024
DEF8590,EF1321,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.60-0.69,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF8549,RF2123,RING,Female Ring,Female,Now & Forever,12,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,1.00-1.23,8,13,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DNK8527,NK3013,NECKWEAR,Necklaces,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.23-0.29,-,-,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DBF9938,OBF3045,WRIST WEAR,Round Bangles,Female,Generic,2.4,,Divine (DSJ),,,,,,Yellow,,2-21-2024
DCF8895,RF1638,RING,Couple Female Ring,Female,Now & Forever,10,"Rose,Rose White Rhodium,White,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),0.18-0.22,0.30-0.38,1,21,"10KT,14KT,18KT,9KT",White,3-29-2024,2-21-2024
DNK8527,NK3013,NECKWEAR,Necklaces,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.23-0.29,-,-,"10KT,14KT,18KT,9KT",Rose,,2-21-2024
DRF8701,RF3063,RING,Female Ring,Female,Generic,11,"Rose,Rose White,Yellow White",Divine (DSJ),0.18-0.22,0.90-0.99,3,15,"10KT,14KT,18KT,9KT",White,3-15-2024,2-21-2024
DRF9755,RF1654,RING,Female Ring,Female,Generic,9,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.70-0.79,4,23,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DEF9904,EF8091,EARRING,Female Earring,Female,Generic,-,,Divine (DSJ),,,,,,Yellow,,2-21-2024
DRF8244,RF1834,RING,Female Ring,Female,Generic,15,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,19,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,3-5-2024
DRF8244,RF1834,RING,Female Ring,Female,Generic,9,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,19,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRM9146,RM3008,RING,Male Ring,Male,Generic,20,"Rose,Rose White Rhodium,White,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),0.10-0.13,0.18-0.22,22,35,"10KT,14KT,18KT,9KT",White,4-10-2024,2-21-2024
DEF9850,EF3357,EARRING,Female Earring,Female,Generic,-,,Divine (DSJ),,,,,,White,,2-21-2024
DRM9262,RM3096,RING,Male Ring,Male,Enamel Generic,20,"White,Yellow",Divine (DSJ),0.23-0.29,1.00-1.23,17,24,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DRF8565,RF3009,RING,Female Ring,Female,Generic,12,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.14-0.17,0.70-0.79,4,16,"10KT,14KT,18KT,9KT",White,3-11-2024,2-21-2024
DRM9033,RM1256,RING,Male Ring,Male,Generic,29,"Rose,White,Yellow",Divine (DSJ),0.30-0.38,1.24-1.49,21,21,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DEF9886,EF8010,EARRING,Female Earring,Female,Generic,-,,Divine (DSJ),,,,,,Rose,,2-21-2024
DEF8591,EF1324,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.50-0.59,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DEF8592,EF1325,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",Yellow,3-15-2024,2-21-2024
DEF8590,EF1321,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.60-0.69,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DEF8591,EF1324,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.50-0.59,-,-,"10KT,14KT,18KT,9KT",Rose,4-17-2024,2-21-2024
DRM9124,RM1304,RING,Male Ring,Male,Generic,18,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.23-0.29,0.50-0.59,16,20.5,"10KT,14KT,18KT,9KT",White,4-17-2024,2-21-2024
DRM9020,RM1237,RING,Male Ring,Male,Generic,19,"Rose,Rose White Rhodium,White,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),0.23-0.29,0.23-0.29,22,22,"10KT,14KT,18KT,9KT",White,4-6-2024,2-21-2024
DRF8459,RF2103,RING,Female Ring,Female,Engagement,12,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",,,3-8-2024
DEF8621,EF6087,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.14-0.17,-,-,"10KT,14KT,18KT,9KT",Rose,4-17-2024,2-21-2024
DRM9148,RM3012,RING,Male Ring,Male,Generic,22,"Rose,Rose White Rhodium,White,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),0.18-0.22,0.18-0.22,18,18,"10KT,14KT,18KT,9KT",White,3-29-2024,2-21-2024
DRF8544,RF2117,RING,Female Ring,Female,Engagement,12,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,,3-7-2024
DEF8621,EF6087,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.14-0.17,-,-,"10KT,14KT,18KT,9KT",Yellow,3-30-2024,2-21-2024
DEF8623,EF6089,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Rose,4-17-2024,2-21-2024
DRF8266,RF1885,RING,Female Ring,Female,Generic,10,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.50-0.59,4,16,"10KT,14KT,18KT,9KT",Rose,3-8-2024,2-21-2024
DEF8140,EF6021,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.23-0.29,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DEF8140,EF6021,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.23-0.29,-,-,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DCF8896,RF1642,RING,Couple Female Ring,Female,Now & Forever,26,"Rose,Rose White Rhodium,White,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),0.14-0.17,0.30-0.38,12,12,"10KT,14KT,18KT,9KT",White,4-6-2024,2-21-2024
DEF8140,EF6021,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.23-0.29,-,-,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DRM9144,RM3006,RING,Male Ring,Male,Generic,17,"Rose,Rose White,Rose White Rhodium,White,Yellow,Yellow White Rhodium",Divine (DSJ),0.23-0.29,0.45-0.49,18,18,"10KT,14KT,18KT,9KT",White,4-20-2024,2-21-2024
DRM9150,RM3014,RING,Male Ring,Male,Generic,18,"Rose,Rose White Rhodium,White,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),-,2.50-2.99,1,21,"10KT,14KT,18KT,9KT",White,4-17-2024,2-21-2024
DRF9647,RF1506,RING,Female Ring,Female,Generic,8,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,19,"10KT,14KT,18KT,9KT",Rose,3-14-2024,2-21-2024
DEF9731,EF6010,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DPF8205,PF3078,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),,,-,-,"10KT,14KT,18KT,9KT",Rose,,2-21-2024
DPF9494,PF1175,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.10-0.13,-,-,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
